product,category,stratum,seed,backend,relight_mode,relight_strength,ablation,format,provider,extraction_method,extraction_quality,boundary_contrast,ssim,psnr_db,lpips,edge_retention,hist_correlation,lighting_coherence,palette_consistency
backpack_black,bags,white,42,procedural,graded,0.75,full,story,procedural,rembg,1.0,82.06,0.9882,30.4,0.0164,0.9854,0.9603,0.0045,0.9477
backpack_black,bags,white,42,procedural,graded,0.75,full,banner,procedural,rembg,1.0,82.06,0.9876,30.14,0.0178,0.983,0.9603,0.135,0.9351
backpack_black,bags,white,42,procedural,graded,1.0,full,square,procedural,rembg,1.0,82.06,0.985,28.86,0.0202,0.9807,0.9355,0.2168,0.9304
backpack_black,bags,white,42,procedural,graded,1.0,full,story,procedural,rembg,1.0,82.06,0.9859,29.14,0.0182,0.984,0.9353,0.0032,0.9446
backpack_black,bags,white,42,procedural,graded,1.0,full,banner,procedural,rembg,1.0,82.06,0.9853,28.92,0.0196,0.9822,0.9354,0.1397,0.935
can_heyday,beverage,plain,42,procedural,none,0.0,full,square,procedural,rembg,1.0,138.2,0.9992,42.96,0.0006,0.9994,0.9985,0.9973,0.9716
can_heyday,beverage,plain,42,procedural,none,0.0,full,story,procedural,rembg,1.0,138.2,0.9992,42.99,0.0006,0.9994,0.9985,0.7758,0.9632
can_heyday,beverage,plain,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,138.2,0.9992,42.77,0.0006,0.9994,0.9985,0.0055,0.9666
can_heyday,beverage,plain,42,procedural,graded,0.25,full,square,procedural,rembg,1.0,138.2,0.9983,35.99,0.0008,0.9991,0.6989,0.9936,0.9708
can_heyday,beverage,plain,42,procedural,graded,0.25,full,story,procedural,rembg,1.0,138.2,0.9983,36.0,0.0008,0.9992,0.6989,0.7521,0.9582
can_heyday,beverage,plain,42,procedural,graded,0.25,full,banner,procedural,rembg,1.0,138.2,0.9983,35.94,0.0008,0.9993,0.699,0.0019,0.9618
can_heyday,beverage,plain,42,procedural,graded,0.5,full,square,procedural,rembg,1.0,138.2,0.9971,31.73,0.0013,0.9991,0.6958,0.9869,0.9699
can_heyday,beverage,plain,42,procedural,graded,0.5,full,story,procedural,rembg,1.0,138.2,0.9971,31.73,0.0013,0.9991,0.6957,0.721,0.9543
can_heyday,beverage,plain,42,procedural,graded,0.5,full,banner,procedural,rembg,1.0,138.2,0.9971,31.71,0.0013,0.9992,0.6958,0.0,0.9585
can_heyday,beverage,plain,42,procedural,graded,0.75,full,square,procedural,rembg,1.0,138.2,0.9953,28.79,0.002,0.9991,0.6133,0.9767,0.9705
can_heyday,beverage,plain,42,procedural,graded,0.75,full,story,procedural,rembg,1.0,138.2,0.9953,28.8,0.002,0.999,0.6132,0.6847,0.9536
can_heyday,beverage,plain,42,procedural,graded,0.75,full,banner,procedural,rembg,1.0,138.2,0.9953,28.78,0.002,0.9992,0.6133,0.0015,0.9553
can_heyday,beverage,plain,42,procedural,graded,1.0,full,square,procedural,rembg,1.0,138.2,0.9929,26.58,0.0031,0.999,0.5526,0.9634,0.9708
can_heyday,beverage,plain,42,procedural,graded,1.0,full,story,procedural,rembg,1.0,138.2,0.9929,26.58,0.0031,0.999,0.5526,0.6466,0.9497
can_heyday,beverage,plain,42,procedural,graded,1.0,full,banner,procedural,rembg,1.0,138.2,0.9929,26.57,0.0031,0.9991,0.5527,0.0066,0.9505
tube_lets_talk,cosmetics,plain,42,procedural,none,0.0,full,square,procedural,rembg,1.0,23.22,0.9963,42.37,0.0049,0.9831,0.999,0.9209,0.8532
tube_lets_talk,cosmetics,plain,42,procedural,none,0.0,full,story,procedural,rembg,1.0,23.22,0.9955,41.23,0.0065,0.9735,0.9988,0.9857,0.9083
tube_lets_talk,cosmetics,plain,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,23.22,0.9967,43.17,0.0038,0.9883,0.9991,0.9881,0.8586
tube_lets_talk,cosmetics,plain,42,procedural,graded,0.25,full,square,procedural,rembg,1.0,23.22,0.9957,38.02,0.0049,0.981,0.9859,0.9158,0.8494
tube_lets_talk,cosmetics,plain,42,procedural,graded,0.25,full,story,procedural,rembg,1.0,23.22,0.995,37.65,0.0064,0.971,0.9862,0.9878,0.9083
tube_lets_talk,cosmetics,plain,42,procedural,graded,0.25,full,banner,procedural,rembg,1.0,23.22,0.9961,38.22,0.0038,0.9877,0.9855,0.9898,0.8574
tube_lets_talk,cosmetics,plain,42,procedural,graded,0.5,full,square,procedural,rembg,1.0,23.22,0.9946,34.38,0.0052,0.9787,0.9644,0.9123,0.8469
tube_lets_talk,cosmetics,plain,42,procedural,graded,0.5,full,story,procedural,rembg,1.0,23.22,0.9938,34.24,0.0068,0.9693,0.9648,0.9891,0.906
tube_lets_talk,cosmetics,plain,42,procedural,graded,0.5,full,banner,procedural,rembg,1.0,23.22,0.995,34.44,0.0042,0.9866,0.9638,0.9908,0.8488
tube_lets_talk,cosmetics,plain,42,procedural,graded,0.75,full,square,procedural,rembg,1.0,23.22,0.9929,31.66,0.0057,0.9766,0.9402,0.9095,0.8454
