product,category,stratum,seed,backend,relight_mode,relight_strength,ablation,format,provider,extraction_method,extraction_quality,boundary_contrast,ssim,psnr_db,lpips,edge_retention,hist_correlation,lighting_coherence,palette_consistency
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_coord,story,diffusers-turbo,rembg,1.0,104.12,0.9884,31.87,0.0147,0.9417,0.9854,0.2074,0.7695
sunglasses_black,eyewear,white,43,diffusers,none,0.0,no_coord,banner,diffusers-turbo,rembg,1.0,104.12,0.9893,32.71,0.0124,0.9415,0.9857,0.5394,0.7391
sunglasses_black,eyewear,white,43,diffusers,none,0.0,naive,square,diffusers-turbo,rembg,1.0,104.12,0.989,31.65,0.0189,0.9467,0.9852,0.1121,0.775
sunglasses_black,eyewear,white,43,diffusers,none,0.0,naive,story,diffusers-turbo,rembg,1.0,104.12,0.9883,31.12,0.0203,0.9471,0.9851,0.3998,0.7769
sunglasses_black,eyewear,white,43,diffusers,none,0.0,naive,banner,diffusers-turbo,rembg,1.0,104.12,0.9899,32.6,0.0159,0.9443,0.9856,0.893,0.773
sunglasses_black,eyewear,white,44,procedural,none,0.0,full,square,procedural,rembg,1.0,104.12,0.9959,39.99,0.0079,0.9927,0.9999,0.0369,0.8544
sunglasses_black,eyewear,white,44,procedural,none,0.0,full,story,procedural,rembg,1.0,104.12,0.9959,40.03,0.0077,0.9926,0.9999,0.1191,0.8548
sunglasses_black,eyewear,white,44,procedural,none,0.0,full,banner,procedural,rembg,1.0,104.12,0.9942,38.07,0.0105,0.9752,0.9999,0.0218,0.8524
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_shadow,square,procedural,rembg,1.0,104.12,0.9959,39.99,0.0079,0.9924,0.9999,0.0459,0.8542
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_shadow,story,procedural,rembg,1.0,104.12,0.9959,40.02,0.0077,0.9924,0.9999,0.156,0.8543
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_shadow,banner,procedural,rembg,1.0,104.12,0.9942,38.09,0.0105,0.9759,0.9999,0.0238,0.8525
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_rim,square,procedural,rembg,1.0,104.12,0.9958,39.99,0.0079,0.9928,0.9999,0.0369,0.8543
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_rim,story,procedural,rembg,1.0,104.12,0.9959,40.03,0.0078,0.9927,0.9999,0.1191,0.8547
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_rim,banner,procedural,rembg,1.0,104.12,0.9942,38.07,0.0107,0.9729,0.9999,0.0218,0.8524
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_brand,square,procedural,rembg,1.0,104.12,0.9937,37.35,0.0049,0.9489,0.9997,0.0098,0.9437
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_brand,story,procedural,rembg,1.0,104.12,0.9937,37.32,0.0049,0.948,0.9997,0.0102,0.8436
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_brand,banner,procedural,rembg,1.0,104.12,0.9943,38.06,0.0041,0.9516,0.9998,0.3095,0.9367
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_coord,square,procedural,rembg,1.0,104.12,0.9955,39.5,0.008,0.9915,0.9999,0.1391,0.8574
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_coord,story,procedural,rembg,1.0,104.12,0.9956,39.61,0.0079,0.9921,0.9999,0.2654,0.8555
sunglasses_black,eyewear,white,44,procedural,none,0.0,no_coord,banner,procedural,rembg,1.0,104.12,0.9963,40.8,0.0066,0.9939,0.9999,0.0019,0.8624
sunglasses_black,eyewear,white,44,procedural,none,0.0,naive,square,procedural,rembg,1.0,104.12,0.994,37.15,0.0053,0.9433,0.9997,0.0113,0.9398
sunglasses_black,eyewear,white,44,procedural,none,0.0,naive,story,procedural,rembg,1.0,104.12,0.9939,37.12,0.0053,0.9429,0.9997,0.9937,0.8418
sunglasses_black,eyewear,white,44,procedural,none,0.0,naive,banner,procedural,rembg,1.0,104.12,0.9945,37.83,0.0044,0.9448,0.9998,0.7597,0.9338
sunglasses_black,eyewear,white,44,diffusers,none,0.0,full,square,diffusers-turbo,rembg,1.0,104.12,0.9887,32.36,0.0129,0.9393,0.9854,0.2354,0.8041
sunglasses_black,eyewear,white,44,diffusers,none,0.0,full,story,diffusers-turbo,rembg,1.0,104.12,0.9881,31.97,0.0146,0.9401,0.9852,0.0516,0.7977
sunglasses_black,eyewear,white,44,diffusers,none,0.0,full,banner,diffusers-turbo,rembg,1.0,104.12,0.987,30.84,0.0165,0.9421,0.9852,0.0061,0.7157
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_shadow,square,diffusers-turbo,rembg,1.0,104.12,0.9887,32.21,0.0129,0.9393,0.9854,0.576,0.7999
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_shadow,story,diffusers-turbo,rembg,1.0,104.12,0.9881,31.82,0.0146,0.9401,0.9852,0.2396,0.7979
